FP ID,Name,Website,Partners,Counsel,Associates,Firm Office Locations,Antitrust,Banking,Bankruptcy,Corporate,Data Privacy,ERISA,Energy,Entertainment,Environmental,FDA,Government,Health Care,Insurance,Intellectual Property,International Trade,Labor & Employment,Litigation,Media,Real Estate,Tax,Telecommunications,Transportation,Trusts & Estates,Practice Area Top 1,Practice Area Top 2,Practice Area Top 3,Total Attorneys,PPP
980,Cooley LLP,http://cooley.com,404,221,738,"Boston, Massachusetts; Denver, Colorado; London, UK; Santa Monica, California; New York, New York; Palo Alto, California; Reston, Virginia; San Diego, California; San Francisco, California; Seattle, Washington; Shanghai, China; Washington, District of Columbia; Beijing, China; Singapore; Hong Kong, China; Chicago, Illinois; Brussels, Belgium; Los Angeles, California; Miami, Florida",25,48,21,661,54,35,1,3,3,10,18,18,4,193,13,40,317,12,16,21,16,5,,Corporate : 661,Litigation : 317,Intellectual Property : 193,"1,409","3,867,000"
1272,Husch Blackwell LLP,http://huschblackwell.com,453,244,398,"Austin, Texas; Chattanooga, Tennessee; Chicago, Illinois; Dallas, Texas; Kansas City, Missouri; Denver, Colorado; Houston, Texas; Jefferson City, Missouri; Madison, Wisconsin; Milwaukee, Wisconsin; Omaha, Nebraska; Phoenix, Arizona; Springfield, Missouri; St. Louis, Missouri; Washington, District of Columbia; Los Angeles, California; Oakland, California; Boston, Massachusetts; Providence, Rhode Island; Phoenix, Arizona; Minneapolis, Minnesota; Nashville, Tennessee",2,51,22,100,10,10,77,3,21,4,71,90,22,84,12,110,421,1,139,33,4,15,54,Litigation : 421,Real Estate : 139,Labor & Employment : 110,"1,136","1,006,000"
2452,Wilson Sonsini Goodrich & Rosati,http://wsgr.com,316,110,672,"Austin, Texas; Palo Alto, California; Seattle, Washington; Boston, Massachusetts; San Diego, California; Washington, District of Columbia; Los Angeles, California; San Francisco, California; Wilmington, Delaware; New York, New York; Brussels, Belgium; Hong Kong, China; Shanghai, China; London, UK; Salt Lake City, Utah; Boulder, Colorado; Los Angeles, California",75,19,7,499,53,24,34,,2,5,4,9,,228,13,20,203,11,6,14,1,,,Corporate : 499,Intellectual Property : 228,Litigation : 203,"1,119","3,085,000"
1015,Fox Rothschild,http://foxrothschild.com,622,105,283,"Atlantic City, New Jersey; Blue Bell, Pennsylvania; Chicago, Illinois; Dallas, Texas; Denver, Colorado; Las Vegas, Nevada; Los Angeles, California; Miami, Florida; Minneapolis, Minnesota; Morristown, New Jersey; New York, New York; Philadelphia, Pennsylvania; Pittsburgh, Pennsylvania; Princeton, New Jersey; San Francisco, California; Seattle, Washington; Warrington, Pennsylvania; Washington, District of Columbia; West Palm Beach, Florida; Wilmington, Delaware; Atlanta, Georgia; Charlotte, North Carolina; Greensboro, North Carolina; Greenville, South Carolina; Raleigh, North Carolina; Exton, Pennsylvania; Kansas City, Missouri; Oklahoma City, Oklahoma; Boston, Massachusetts; Sarasota, Florida",3,23,34,158,11,16,15,47,28,3,45,32,13,85,5,114,378,11,169,65,2,10,82,Litigation : 378,Real Estate : 169,Corporate : 158,"1,016","1,109,000"
1353,Jackson Walker L.L.P,http://jw.com,319,49,160,"Austin, Texas; Dallas, Texas; Houston, Texas; San Angelo, Texas; San Antonio, Texas; Fort Worth, Texas",,37,16,95,,6,38,3,15,,17,12,2,29,2,30,154,4,109,20,,3,32,Litigation : 154,Real Estate : 109,Corporate : 95,538,"1,528,000"
965,Brown Rudnick LLP,http://brownrudnick.com,120,35,72,"Boston, Massachusetts; New York, New York; Hartford, Connecticut; Irvine, California; Washington, District of Columbia; London, UK; Houston, Texas; Los Angeles, California",1,15,34,42,4,3,9,3,3,1,7,1,2,30,,3,94,4,20,9,2,,2,Litigation : 94,Corporate : 42,Bankruptcy : 34,237,"1,778,000"
2728,DLA Piper,http://dlapiper.com,"1,826",602,"2,338","Johannesburg, South Africa; Brisbane, Australia; Melbourne, Australia; Perth, Australia; Sydney, Australia; Beijing, China; Hong Kong, China; Shanghai, China; Tokyo, Japan; Auckland, New Zealand; Wellington, New Zealand; Singapore; Seoul, South Korea; Bangkok, Thailand; Vienna, Austria; Antwerp, Belgium; Brussels, Belgium; Aarhus, Denmark; Copenhagen, Denmark; Helsinki, Finland; Paris, France; Cologne, Germany; Frankfurt, Germany; Hamburg, Germany; Milan, Italy; Rome, Italy; Luxembourg; Amsterdam, Netherlands; Oslo, Norway; Warsaw, Poland; Bucharest, Romania; Slovakia; Stockholm, Sweden; Birmingham, UK; Edinburgh, UK; Leeds, UK; Liverpool, UK; London, UK; Manchester, UK; Sheffield, UK; Sao Paulo, Brazil; Mexico City, Mexico; Bahrain; Oman; Doha, Qatar; Other, Saudi Arabia; Riyadh, Saudi Arabia; Abu Dhabi, UAE; Dubai, UAE; Calgary, Canada; Edmonton, Canada; Montreal, Canada; Toronto, Canada; Vancouver, Canada; Atlanta, Georgia; Austin, Texas; Baltimore, Maryland; Boston, Massachusetts; Chicago, Illinois; Dallas, Texas; Houston, Texas; Los Angeles, California; Miami, Florida; Minneapolis, Minnesota; Short Hills, New Jersey; New York, New York; Reston, Virginia; Philadelphia, Pennsylvania; Phoenix, Arizona; Raleigh, North Carolina; San Diego, California; San Francisco, California; Seattle, Washington; Palo Alto, California; Washington, District of Columbia; Wilmington, Delaware; Morocco; Prague, Czech Republic; Munich, Germany; Budapest, Hungary; Lisbon, Portugal; Madrid, Spain; San Juan, Puerto Rico; Buenos Aires, Argentina; Rio de Janeiro, Brazil; Santiago, Chile; Bogota, Colombia; Dublin, Ireland; Lima, Peru; Dusseldorf, Germany",125,518,224,"1,680",157,38,269,67,96,21,204,39,104,477,111,352,"1,173",41,676,299,44,49,22,Corporate : 1680,Litigation : 1173,Real Estate : 676,"5,485","3,459,000"
4402,Dentons,http://dentons.com,"2,147",635,"2,104","Naples, Florida; Pittsburgh, Pennsylvania; Phoenix, Arizona; Los Angeles, California; Newport Beach, California; San Diego, California; San Francisco, California; Mountain View, California; Denver, Colorado; Washington, District of Columbia; Miami, Florida; Atlanta, Georgia; Chicago, Illinois; New Orleans, Louisiana; Boston, Massachusetts; Kansas City, Missouri; St. Louis, Missouri; Short Hills, New Jersey; New York, New York; Dallas, Texas; Houston, Texas; Oakland, California; Las Vegas, Nevada; Salt Lake City, Utah; Lehi, Utah; Ogden, Utah; Indianapolis, Indiana; Louisville, Kentucky; Lexington, Kentucky; Cincinnati, Ohio; Jasper, Indiana; Evansville, Indiana; Birmingham, Alabama; Huntsville, Alabama; Mobile, Alabama; Tuscaloosa, Alabama; Honolulu, Hawaii; St. George, Utah; Des Moines, Iowa; Antigua & Barbuda; Buenos Aires, Argentina; Adelaide, Australia; Brisbane, Australia; Melbourne, Australia; Perth, Australia; Sydney, Australia; Azerbaijan; Barbados; Brussels, Belgium; Sao Paulo, Brazil; British Virgin Islands; Calgary, Canada; Edmonton, Canada; Montreal, Canada; Ottawa, Canada; Toronto, Canada; Vancouver, Canada; Cayman Islands; Santiago, Chile; Hong Kong, China; Bogota, Colombia; Costa Rica; Prague, Czech Republic; Cairo, Egypt; El Salvador; Paris, France; Tbilisi, Georgia; Berlin, Germany; Dusseldorf, Germany; Frankfurt, Germany; Munich, Germany; Grenada; Guatemala; Guyana; Honduras; Budapest, Hungary; Jakarta, Indonesia; Dublin, Ireland; Milan, Italy; Rome, Italy; Jamaica; Amman, Jordan; Almaty, Kazakhstan; Nur, Kazakhstan; Kenya; Lebanon; Luxembourg; Kuala Lumpur, Malaysia; Mauritius; Mexico City, Mexico; Monterrey, Mexico; Morocco; Myanmar; Amsterdam, Netherlands; Auckland, New Zealand; Wellington, New Zealand; Managua, Nicaragua; Nigeria; Oman; Panama; Papua New Guinea; Lima, Peru; Warsaw, Poland; Doha, Qatar; Bucharest, Romania; Moscow, Russia; Jeddah, Saudi Arabia; Riyadh, Saudi Arabia; Singapore; Slovakia; Cape Town, South Africa; Johannesburg, South Africa; Seoul, South Korea; Madrid, Spain; Tanzania; Trinidad & Tobago; Istanbul, Turkey; Abu Dhabi, UAE; Dubai, UAE; Uganda; Edinburgh, UK; Glasgow, UK; London, UK; Milton Keynes, UK; Kyiv, Ukraine; Uruguay; Tashkent, Uzbekistan; Caracas, Venezuela; Zambia; Ecuador; La Paz, Bolivia; Santa Cruz, Bolivia; Mozambique; Other, Colombia; St. Kitts & Nevis; Ho Chi Minh, Vietnam; Hanoi, Vietnam; Ames, Iowa; West Des Moines, Iowa; Portland, Maine; St. Lucia; Tunisia; Namibia; Other, India; Delhi, India; Mumbai, India; Hyderabad, India; Rio de Janeiro, Brazil; Christchurch, New Zealand; Manila, Philippines; Turks and Caicos; Ethiopia; Democratic Republic of the Congo; Senegal; Cameroon; Bangkok, Thailand; Brasilia, Brazil",115,710,233,"1,517",90,41,359,58,103,7,243,80,132,304,63,368,"1,376",18,835,294,36,103,130,Corporate : 1517,Litigation : 1376,Real Estate : 835,"5,131","906,000"
1475,Kirkland & Ellis LLP,http://kirkland.com,"1,919",29,"2,136","Boston, Massachusetts; Chicago, Illinois; Houston, Texas; Los Angeles, California; New York, New York; Palo Alto, California; San Francisco, California; Washington, District of Columbia; Dallas, Texas; Los Angeles, California; Austin, Texas; London, UK; Beijing, China; Hong Kong, China; Shanghai, China; Paris, France; Munich, Germany; Brussels, Belgium; Salt Lake City, Utah; Miami, Florida; Riyadh, Saudi Arabia; Frankfurt, Germany; Philadelphia, Pennsylvania",109,443,219,"1,789",27,94,95,15,34,5,24,17,16,303,23,24,829,8,107,189,7,2,9,Corporate : 1789,Litigation : 829,Banking : 443,"4,111","9,253,000"
1522,Latham & Watkins LLP,http://lw.com,"1,002",345,"2,228","Boston, Massachusetts; Los Angeles, California; Chicago, Illinois; Houston, Texas; Los Angeles, California; New York, New York; Costa Mesa, California; San Diego, California; San Francisco, California; Menlo Park, California; Washington, District of Columbia; London, UK; Hong Kong, China; Singapore; Brussels, Belgium; Beijing, China; Paris, France; Dusseldorf, Germany; Frankfurt, Germany; Hamburg, Germany; Munich, Germany; Milan, Italy; Tokyo, Japan; Riyadh, Saudi Arabia; Seoul, South Korea; Madrid, Spain; Dubai, UAE; Austin, Texas; Tel Aviv, Israel",209,568,114,"1,284",85,63,166,44,65,16,20,33,31,202,24,34,645,17,100,128,12,3,,Corporate : 1284,Litigation : 645,Banking : 568,"3,653","7,135,000"
