FP ID,Firm Name,Job Location,Job Title,Job Description,Practice Areas,Specialty,MinYrs,MaxYrs,Status,Closed Date
1000146804,Norton Rose Fulbright,"Austin, Texas; Houston, Texas; Dallas, Texas; Chicago, Illinois; Denver, Colorado; Los Angeles, California; San Francisco, California; Minneapolis, Minnesota; New York City, New York; District of Columbia",Real Estate Lawyer (Projects),"Norton Rose Fulbright is seeking a mid-level to senior lawyer to join its Projects Real Estate team. The ideal candidate will have six+ years of relevant experience and a strong background in real estate transactions. Experience practicing real estate law at a law firm is required. The candidate must have strong competence in drafting and negotiating real estate documentation. The ideal candidate will have experience advising on real estate matters for energy projects, including renewable energy developments. This role provides an opportunity to work closely with project finance teams on sophisticated energy and infrastructure matters. This position will sit within the firm’s market‑leading Projects Real Estate team, which supports complex, high‑profile transactions across the energy sector. Key Requirements: 6+ years’ experience as a real estate lawyer. Law firm experience practicing real estate law required. Experience drafting and negotiating real estate agreements. Experience supporting renewable energy projects preferred. Strong academic credentials. Location: This position may be based in any of the firm’s U.S. offices, including Austin, Chicago, Dallas, Denver, Houston, Los Angeles, Minneapolis, New York, San Antonio, San Francisco, St. Louis, and Washington D.C.. Please indicate your office(s) of interest in your application. *A remote position may be allowed for select markets. Please contact recruiting to confirm a remote position before submitting an application. Compensation will vary by market and will be commensurate with experience. Bonus opportunities are non‑guaranteed and dependent upon individual and firm performance. Position Information: This position is open to Counsel and Senior Counsel. Both positions offer a vibrant and impactful career within a prestigious global law firm, ideal for those eager to contribute significantly in their field, and the potential for professional advancement. Counsel have the opportunity to progress to Senior Counsel based on performance, contributions to the growth of the firm’s practice, and professional achievements. Promotion to Senior Counsel opens the potential for future consideration for Partnership. Advancement decisions will consider multiple factors including the firm’s needs, the market dynamics within your area of expertise, and broader economic conditions. This position is ideal for those looking to develop a long-term career with prospects for significant professional growth. The salary range for this role is $275,000 - $300,000. Why Join Norton Rose Fulbright Looking for sophisticated work and a firm that invests in you? At Norton Rose Fulbright, you will work on complex, high-profile matters for leading clients across industries and borders, backed by a global platform with more than 50 offices worldwide and a culture that values mentorship, innovation, and balance. What sets us apart Clear paths for long-term career growth, including a transparent route to equity partnership Structured development, mentorship, and business development support from day one A collaborative, people-first culture with world-class colleagues Meaningful pro bono and community engagement Real well-being benefits, including family-forming support, mental health resources, and a $2,500 Vacation Award If you are ready for challenging work and genuine career support, we would love to connect.","Real Estate, Energy","Renewables, Project Development, P&S",6,,Open,
1000146803,Morrison & Foerster LLP,"District of Columbia; Boston, Massachusetts; New York City, New York",Executive Compensation + Benefits Associate Attorney (Mid-Level),"Who We Are MoFo is a destination law firm for talented, ambitious attorneys who value collaboration, teamwork, and commitment to excellence. We are known around the world not only for delivering innovative yet practical client service but also for serving as an incubator for our top-notch talent. MoFo consistently receives top-tier rankings from leading directories and publications, speaking to our legal capabilities, dedication to creating an inclusive workplace, and commitment to our communities. Our Executive Compensation + Benefits Group MoFo’s Executive Compensation + Benefits group is a dynamic, highly rated, and diverse team where we partner with private and public companies across a wide range of industries and stages of growth. As Chair of the Executive Compensation & Benefits group and hiring partner for this position, Rachel Faye Smith shares: ""At MoFo, our ECB associates work on fast-paced, high-impact matters for a diverse and exciting roster of clients. We invest in our associates, giving you responsibility, mentorship, and the opportunity to shape your career from day one."" Learn more about the team and the work you can do at https://www.mofo.com/capabilities/executive-compensation. Who You Are You have 4-6 years of law firm experience in advising public and private companies on sophisticated executive compensation arrangements, particularly in connection with transactions. You have significant deal and private company experience. You have experience in public company and private equity work and experience in deal work and ordinary-course advisory work. You have experience in executive compensation (including equity plans/awards and executive agreements). Experience on employee benefits is helpful, but this role is primarily executive compensation matters. You have strong analytical, drafting and communication skills. You are experienced in managing components of transactions independently. Own Your MoFo Career MoFo empowers its lawyers at every level to take ownership of their careers and is transparent about what it takes to succeed and advance at the firm. The firm’s commitment to our attorneys’ growth extends throughout their careers. MyMoFo, a best-in-class and transparent framework for success, provides associates with clear and consistent expectations at every experience level. MoFo Navigate, our mentoring and sponsorship programs, takes a holistic approach to professional growth. By encouraging collaboration and leveraging insight across departments and geography, and over the course of each attorney’s career, MoFo Navigate creates a support system dynamic enough to respond to the changing needs of all of our attorneys as they grow and develop. MoFo NEXT, our dedicated Center for Career Advancement, offers services such as career visioning, crafting communication materials, executive presence resources, interview techniques, and networking skills. What We Offer A variety of options for medical, dental, vision, life, and disability coverage to meet the needs of you and your family. Industry-leading parental leave and family benefits including adoption and fertility treatment options, backup child and elder care, and more. Tax free health accounts: HSA and FSA. 401(k) or Roth 401(k) plans. Global wellness program, including free access to health care advocates, Employee Assistance Program, Talkspace, and Calm apps. Flex Time Away and reduced schedule arrangements. Paid annual fees for primary state bar registration, and up to two professional associations. Additional bar memberships may be approved on a case-by-case basis. Dedicated in-house pro bono counsel to assist with identifying pro bono organizations and matters to work with. Matching gift programs for law school and charitable organization donations. Inquiries For questions regarding this position, please contact Onika McDonnell, Senior Attorney Recruiting Specialist. Morrison Foerster accepts applications for this position on an ongoing basis, until filled. Where required by law, salary ranges are stated below. Additional compensation may include a discretionary bonus, health/welfare benefits (including parental, adoption, and fertility benefits), flexible time off, and paid holidays. The range displayed is specifically for positions performed in those cities/states and may vary based on factors including but not limited to the following: market data and ranges; an applicant’s skills and prior relevant experience (including class year); and certain degrees, licensing, and certifications. Boston, MA annual salary range: $310,000 to $390,000 New York, NY annual salary range: $310,000 to $390,000 Washington, DC annual salary range: $310,000 to $390,000",ERISA,"Employee Benefits, Exec Comp",4,6,Open,
1000146801,Hughes Hubbard & Reed LLP,"New York City, New York",Corporate M&A Associate (Class Years 2021- 2019),"Overview: Hughes Hubbard is looking for a Mid-Level to Senior Corporate Associate to join our diverse corporate practice in NYC. The position will focus on corporate M&A. Skills & Responsibilities: • Draft all varieties of M&A-related agreements, including but not limited to, purchase and sale agreements, merger agreements, joint venture agreements, shareholder agreements and related ancillary, transitional and other agreements and side letters, certificates, resolutions, etc. • Communicate and correspond effectively with colleagues, clients, other counsel; establish and maintain effective working relationships with others. • Analyze corporate M&A legal issues and perform related research, if needed. • Be familiar with corporate M&A reference materials and electronic resource tools. • Communicate effectively in English orally and in writing; able to organize and prioritize workload; able to understand and follow written and oral directions. Education: • JD degree • Bachelor’s degree • Must be admitted to practice law in the State of New York. Experience: • Candidates must have significant M&A experience. • Preference for candidates with stellar law firm employment history (limited changes since law school graduation). Salary Range $365,000 - $420,000 USD",Corporate,M&A,3,6,Open,
1000146799,Greenberg Traurig LLP,"New York City, New York; Charlotte, North Carolina",Real Estate Lending Associate (Junior to Mid-Level),"Greenberg Traurig (GT), a global law firm, has an exciting full-time employment opportunity for Real Estate Lending Associates in the New York and Charlotte offices. We offer competitive compensation and an excellent benefits package. GT is consistently among the top firms on the Am Law Global 100; the Associate will have the opportunity to work with clients, large and small, from variety of industries across the country. Qualified candidates should have 2 -4 years of experience representing financial institutions specializing in real estate and asset-based lending, specifically loan origination. Experience representing developers in connection with the purchase, sale and financing of real estate and other forms of collateral a plus. Must be a member of the NY or NC State Bar (or able to waive into NC). We are seeking candidates with excellent academic credentials, strong communication and client service skills, as well as the ability to multi-task and manage their time to meet deadlines and complete projects. To apply, submit your resume, cover letter and law school transcript (unofficial transcript is acceptable). The expected pay range for this position is: $235,000 - 310,000 Salary will be determined based upon education, experience, job related factors permitted by law, internal equity, and market data, including geographic pay differentials in locations where market pay differs from the national average. Full time employees may be eligible for a discretionary bonus, health insurance with an optional HSA, short term disability, long term disability, dental insurance, vision care, life insurance, Healthcare and Dependent Care Flexible Spending Accounts, 401K, vacation, sick time, and an employee assistance program. Additional voluntary programs include: voluntary accident insurance, voluntary life, voluntary disability, voluntary critical illness and cancer insurance and pet insurance. Commuter and Transit programs may also be available in certain markets. GT is an EEO employer with an inclusive workplace committed to merit-based consideration and review without regard to an individual’s race, sex, or other protected characteristics and to the principles of non-discrimination on any protected basis.","Banking, Real Estate","Lending, Real Estate, Secured Finance, Finance",2,4,Open,
1000146796,Dentons,"New York City, New York",Employment & Labor Associate - New York,"Culture and Engagement at Dentons Fostering an inclusive and welcoming culture is a core priority at Dentons. We are committed to creating an environment that values and respects the contributions of all colleagues. By attracting, supporting, promoting and retaining highly qualified individuals of various backgrounds and experiences, we strengthen our ability to provide innovative solutions, deliver exceptional client service, and advance the success of our Firm. Dentons takes an active approach to promoting a collaborative and inclusive workplace by investing in professional development and culture initiatives. Responsibilities and practice Dentons US LLP is seeking an associate with excellent academic credentials and 3-5 years of employment practice experience to work in our New York office. In addition to having a strong knowledge of employment law, the ideal candidate will have experience handling and managing employment litigation matters and providing employment advice and counsel. The candidate hired for this position will work with partners and directly with clients and will be a key member of the team. Expected responsibilities will include, but will not be limited to: Providing day-to-day employment and human-resources counseling for clients Reviewing, analyzing, and drafting employment agreements, employee handbooks and policies, severance agreements, and other employment documents Handling employment litigation matters, including single-plaintiff, executive compensation, wage-hour class actions, and administrative charges Taking and defending depositions in employment-litigation matters and managing written-discovery phrases of litigation matters Working with the team to provide guidance to clients on sensitive personnel issues and policy review and implementation Opportunity to advise and support on traditional labor and NLRB matters Performing a key role in formulating legal strategy on litigation matters Supporting the team by performing work on other matters as needed Pursuant to New York law, the salary range for this position is $235,000 to $365,000, based on experience and office location. Based on years of experience, Dentons US LLP associates may have a title of Associate, Managing Associate, or Senior Managing Associate. Dentons US LLP offers a competitive salary and benefits package including medical, dental, vision, 401k, short-term/long-term disability, life insurance, tuition reimbursement, paid time off, paid holidays and discretionary bonuses. Position requirements Personal skills/attributes Has excellent interpersonal skills and is able to effectively communicate practical ideas and solutions through concise written work product and direct client engagement Is organized, efficient, and able to prioritize, delegate, and manage complex and detail-oriented assignments Understands the importance of exceeding client expectations and providing excellent client service Technical skills 3-5 years of employment litigation and counseling experience is required Possesses strong writing and analytical skills Other requirements Must be licensed to practice law in the State of New York and be in good standing Equal opportunities Dentons US LLP is an Equal Opportunity Employer – Disability/Vet. Pursuant to local ordinances, we will consider for employment qualified applicants with arrest and conviction records. How to apply Search firms We are not accepting search firm submissions for this position. Direct applicants Direct applicants may apply using the button below. If you need any assistance seeking a job opportunity at Dentons US LLP, or if you need reasonable accommodation with the application process, please call 404-527-4061 or email takara.hicks@dentons.com.",Labor & Employment,"Litigation, Counseling",3,5,Open,
1000146793,"Cadwalader, Wickersham & Taft LLP","New York City, New York","Real Estate Finance Associate (3-6 Years) – New York, NY Office","We are seeking a commercial real estate finance associate with 3-6 years of experience representing commercial and investment banks, insurance companies, debt funds and/or other regulated and non-regulated lenders in the financing of commercial properties. The ideal candidate should have experience conducting title, survey, lease and other commercial property diligence and working on the origination of loans secured by commercial properties. Exposure to mezzanine loans and commercial mortgage loan securitization and syndication is a plus. The anticipated annual base salary range for this position is $260,000 to $365,000. The actual base salary offered will depend on a variety of factors, including without limitation, the qualifications of the applicant and years of relevant experience.","Real Estate, Banking","Finance, Lending, Real Estate, Mezzanine Finance, Secured Finance",3,6,Open,
1000146791,"Wilson, Elser, Moskowitz, Edelman & Dicker","New York City, New York",Cyber Incident Response Associate Attorney,"Wilson Elser is a leading defense litigation law firm with more than 1400 attorneys in 43 offices throughout the United States. Founded in 1978, we rank among the top 100 law firms identified by The American Lawyer and 36 in the National Law Journal’s survey of the nation’s largest law firms. Our firm is committed to attracting and retaining professionals who value each other and the service we provide by embracing Teamwork, Collaboration, Client Service, and Innovation. If you are a motivated professional looking for a long-term fit where you can grow in a role, and will be valued and empowered, then we invite you to apply to our Cyber Incident Response Associate Attorney position in our New York City Office. This position offers a flexible, hybrid working arrangement. The Position Key Responsibilities: Incident response for cybersecurity and data privacy incidents Analysis of state, federal, and international data breach and privacy laws Drafting legal notices of a data breach to individuals and regulators Responding to regulatory investigations arising out of a data breach Oversight of forensics investigations Oversight of third party vendors for e-Discovery, data mining, and notice projects Advising clients on legal notification obligations under State/Federal laws Drafting breach notification letters to individuals and State/Federal Regulators Drafting Crisis Communications for clients Responding to inquiries and investigations by State/Federal Regulators Interfacing with clients, including senior management and IT staff Drafting reports to insurance carriers and clients Preparing legal budgets Qualifications JD from an accredited Law School Must be admitted to Bar in good standing 3+ years legal experience 3+ years of experience in data privacy and security, with particular focus on data breach and incident response Strong knowledge of data breach and privacy laws (State Laws, HIPAA, GLBA, FERPA, CCPA, GDPR, etc.) IT or technical background a plus Excellent research, writing, and communication skills (Lexis and Westlaw) Ability to work in a fast-paced environment Team player A variety of factors are considered in making compensation decisions, including but not limited to experience, education, licensure and/or certifications, geographic location, market demands, other business and organizational needs, and other factors permitted by law. Final salary wages offered may be outside of this range based on other reasons and individual circumstances. This position is considered full-time and therefore qualifies for benefits including 401(k) retirement savings plan, medical, dental, vision, disability, and life insurance. Details of participation in these benefit plans will be provided if an employee receives an offer of employment. Salary Range: $160,000 - $190,000 USD Why Should You Apply? Flexibility: Hybrid work arrangements to support work-life blend Benefits: Outstanding benefits package, including 401k match and generous PTO plan Career Growth: Ample opportunities for professional development and advancement Employee Perks: Access to corporate discount plans and other benefits Wilson Elser welcomes submissions of candidates for our open positions exclusively from recruitment agencies with an active, signed fee agreement who have been granted access to a position through our dedicated Recruitment Agency Portal. We are unable to consider submissions from recruitment agencies without a current (dated as of 7/1/2024) agreement in place. We appreciate your understanding. For collaboration inquiries or to establish an agreement, please contact us at talentacquisition@wilsonelser.com. Wilson Elser is committed to a collegial work environment in which all individuals are treated with respect and dignity. It is the Firm’s policy that employment will be based on merit, qualifications, and competence. Further, employment decisions will be made without regard to an applicants race, color, age, sex, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation or preference, gender identity, physical or mental disability, status as a victim of domestic violence, sex offenses, or stalking, past or present service in the uniformed services or application or obligation to serve in the uniformed services, or any other characteristic protected by law. Wilson Elser endeavors to make the Wilson Elser website accessible to any and all users. You may review our Accessibility Policy here. California Residents may review our CCPA notice for applicants and employees here.","Litigation, Data Privacy","Cybersecurity, Data Privacy, Government, Investigations",3,,Open,
1000146773,DLA Piper,"District of Columbia; New York City, New York",Healthcare Regulatory Associate (DC or NY),"DLA Piper is, at its core, bold, exceptional, collaborative and supportive. Our people are the backbone, heart and soul of our firm. Wherever you are in your professional journey, DLA Piper is a place you can engage in meaningful work and grow your career. Let’s see what we can achieve. Together. Summary The Healthcare Regulatory Group is seeking a mid-level Healthcare Associate with 3-5 years of experience and a strong background in those aspects of health regulatory law applicable to the health care and life sciences industries including fraud and abuse, HIPAA, corporate practice of medicine, licensing, reimbursement, and assisting with the regulatory diligence and structuring of corporate transactions. As part of the team, the successful candidate will be exposed to counseling telehealth and digital health companies as well. Our Healthcare practice works in partnership with companies and investors across the healthcare and life sciences industries, including regulatory and compliance counseling, transactions, investigations, and development of compliance programs. Candidates must have experience working on healthcare transactions, including in the private equity, M&A, and investment areas. Experience in a law firm environment is required; government experience at CMS, OCR, or DOJ is a plus. Candidates must have excellent academic credentials and possess superior analytical, written, verbal and interpersonal skills, be highly organized and detail-oriented, and have the ability to manage several tasks simultaneously to meet deadlines. This position is open for the Washington, D.C. or New York offices of DLA Piper, with a preference for Washington, D.C. Education JD from an accredited law school Bar Admission Licensed to practice in DC or NY Experience 3-5 years of relevant experience. Direct and applicable AmLaw 100 law firm preferred.  Desired Skills Excellent written and verbal communication abilities. Strong research, analytical and problem-solving skills. Attention to detail. Good business and professional judgment. Excellent organizational skills. Ability to work collaboratively and independently. Conceptual thinking. Persuasive communication. Management skills. Essential Job Expectations While the specific job requirements of a DLA Piper position may vary depending upon scope of the job and area of specialty, there are certain universal requirements that are expected of all DLA Piper employees, which include but are not limited to: Effectively communicate, verbally and in writing, with clients, lawyers, business professionals, and third parties; Produce deliverables, answer phone calls, and reply to correspondence in an efficient and responsive manner; Provide timely, accurate, and quality work product; Successfully meet deadlines, expectations, and perform work duties as required; Foster positive work relationships; Comply with all firm policies and practices; Engage in both physical and sedentary activity, such as (a) working at a computer for extended periods of time, including on-screen reading and typing; (b) participating in digital/virtual conference calls; (c) participating in meetings as needed; Ability to work under pressure and manage competing demands in a fast-paced environment; Perform all other duties, tasks or projects as assigned. Our employees are expected to embrace and uphold our firm values as a part of our DLA Piper culture. We are committed to excellence in how we represent our clients and develop our people. Physical Demands Sedentary work: Exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met. Work Environment-The firm’s work location requirements may be modified at the firm’s discretion Hybrid - Regular in-office presence with some flexibility for work-from-home Disclaimer The purpose of this job description is to provide a concise statement of the work elements and to organize and present the information in a standardized way. It is not intended to describe all the elements of the work that may be performed by every individual in this classification, nor should it serve as the sole criteria for personnel decisions and actions. The job duties, requirements, and expectations for this position may be modified at the Firm’s discretion at any time. This job description does not change the at-will nature of employment. Application Process Applicants must apply directly online instead of sending application materials via email. Reasonable accommodations may be made upon request to permit individuals with a disability to perform the essential functions and responsibilities of the position or to participate in the job selection process. If you have a request for an accommodation during the application process, please contact RegulatoryandGovAffairsTalent@us.dlapiper.com. Search Firms Per the terms of our agreement, all candidates must be submitted through the firm’s agency portal for consideration. If you have an agreement with the firm, please log in to the agency portal. If you do not have an agreement with us and would like us to consider candidates, please send a blind candidate profile to RegulatoryandGovAffairsTalent@us.dlapiper.com. Pay Transparency The firm’s expected hiring range for this position is $260,000 - $390,000 per year depending on the candidate’s experience, skills, educational and professional background, and overall qualifications. We offer a comprehensive package of benefits including medical/dental/vision insurance, and 401(k). #LI-CS2 #LI-Hybrid DLA Piper is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job applicant poster viewing center.",Health Care,"Compliance/Regulatory, HIPAA",3,5,Open,
1000146772,DLA Piper,"San Francisco, California; Silicon Valley, California; District of Columbia; New York City, New York",Tax Associate - Controversey,"DLA Piper is, at its core, bold, exceptional, collaborative and supportive. Our people are the backbone, heart and soul of our firm. Wherever you are in your professional journey, DLA Piper is a place you can engage in meaningful work and grow your career. Let’s see what we can achieve. Together. Summary DLA Piper is seeking a tax controversy associate with 3-5 years of experience who can assist with complex tax disputes and litigation, including matters that involve multinational entities and cross-border transactions (international tax and transfer pricing), as well as partnerships, family offices, high net worth individuals, and their related entities. Relevant experience should be with a law firm, large accounting firm, or the government (IRS Chief Counsel, DOJ, Tax Court, or other relevant clerkship). Ability to work both as part of a team and independently required. Background in economics or accounting helpful but not required. Experience interacting (both orally and in writing) with clients, in-house tax and legal teams, opposing and co-counsel, accounting firms, and agents or representatives of taxing authorities preferred. Cover letter and writing sample required. Responsibilities Responsibilities as an Associate will vary based on level of experience and specific practice group. Legal Research: Conduct thorough and comprehensive legal research and analysis to support case/transaction preparation and strategy. Legal Writing: Draft well-written, error free, and reasoned legal documents, including briefs, motions, contracts, and correspondence. Case/Transaction Assistance and Management: Assist/Manage a variety of complex cases/transactions from inception to resolution including preparing for trials, negotiations, settlements, closings, and other legal activities while continuously demonstrating strong judgement. Internal/External Client Interaction: Build, maintain, and cultivate strong internal and external client relationships by providing support, regular updates, advice, and addressing concerns promptly and with the utmost professionalism. Collaboration: Work collaboratively with other lawyers and business professionals to support and develop innovative case/transaction strategies to achieve the most favorable outcomes for internal and external clients. Attend, support, and participate in high-level legal activities including court hearings, depositions, negotiations, trials, etc. Compliance: Ensure rigorous compliance with legal standards and regulations, staying abreast of changes in law and legal precedents. Professional Development: Proactively seek out and participate in ongoing training and development opportunities to enhance your legal knowledge, practice technology, management, and leadership skills. Firm Citizenship and Community Involvement: Engage in and contribute to; firm programs and initiatives; civic and professional organizations; pro bono work by providing legal assistance to underserved and underrepresented communities. Desired Skills Excellent written and verbal communication abilities. Strong research, analytical and problem-solving skills. Attention to detail. Good business and professional judgment. Excellent organizational skills. Ability to work collaboratively and independently. Conceptual thinking. Persuasive communication. Management skills. Minimum Education JD Degree from an accredited law school. Certifications Admitted to practice in the state in which they are officing. Essential Job Expectations While the specific job requirements of a DLA Piper position may vary depending upon scope of the job and area of specialty, there are certain universal requirements that are expected of all DLA Piper employees, which include but are not limited to: Effectively communicate, verbally and in writing, with clients, lawyers, business professionals, and third parties; Produce deliverables, answer phone calls, and reply to correspondence in an efficient and responsive manner; Provide timely, accurate, and quality work product; Successfully meet deadlines, expectations, and perform work duties as required; Foster positive work relationships; Comply with all firm policies and practices; Engage in both physical and sedentary activity, such as (a) working at a computer for extended periods of time, including on-screen reading and typing; (b) participating in digital/virtual conference calls; (c) participating in meetings as needed; Ability to work under pressure and manage competing demands in a fast-paced environment; Perform all other duties, tasks or projects as assigned. Our employees are expected to embrace and uphold our firm values as a part of our DLA Piper culture. We are committed to excellence in how we represent our clients and develop our people. Physical Demands Sedentary work: Exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met. Work Environment-The firm’s work location requirements may be modified at the firm’s discretion Hybrid - Regular in-office presence with some flexibility for work-from-home Disclaimer The purpose of this job description is to provide a concise statement of the work elements and to organize and present the information in a standardized way. It is not intended to describe all the elements of the work that may be performed by every individual in this classification, nor should it serve as the sole criteria for personnel decisions and actions. The job duties, requirements, and expectations for this position may be modified at the Firm’s discretion at any time. This job description does not change the at-will nature of employment. Application Process Applicants must apply directly online instead of sending application materials via email. Reasonable accommodations may be made upon request to permit individuals with a disability to perform the essential functions and responsibilities of the position or to participate in the job selection process. If you have a request for an accommodation during the application process, please contact TaxTalent@us.dlapiper.com. Search Firms Per the terms of our agreement, all candidates must be submitted through the firm’s agency portal for consideration. If you have an agreement with the firm, please log in to the agency portal. If you do not have an agreement with us and would like us to consider candidates, please send a blind candidate profile to TaxTalent@us.dlapiper.com. Pay Transparency The firm’s expected hiring range for this position is $260,000-$365,000 per year depending on the candidate’s geographic market location. The compensation offered for employment will also be dependent on other factors including the candidate’s experience, skills, educational and professional background, and overall qualifications. We offer a comprehensive package of benefits including medical/dental/vision insurance, and 401(k). #LI-Hybrid #LI-CS1 DLA Piper is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job applicant poster viewing center.",Tax,Controversy,3,5,Open,
1000146768,Baker McKenzie,"Chicago, Illinois; Los Angeles, California; New York City, New York",Mid-Level State and Local Tax Associate,"Description Baker McKenzie’s Tax Practice is a leader within our Firm and one of the most highly regarded tax practice in the world. Ranked Band 1 by Chambers Global for its work worldwide, the Tax Practice is recognized by clients and industry peers for the quality tax advice it provides worldwide. Baker McKenzie’s Tax Practice expertly covers all aspects of tax planning and transactions, dispute resolution (both administrative and litigation), tax policy, transfer pricing, indirect taxes and wealth management tax advice and planning. The Chicago, Los Angeles, or New York office of Baker McKenzie seeks a Mid-Level Tax Associate for its State and Local Tax sub-practice group. Successful candidates will have 3-5 years of relevant experience in resolving tax disputes with state and local revenue authorities. Candidates must have strong analytical and writing skills, exceptional speaking and interpersonal skills and the ability to function smoothly in a global-team environment with culturally diverse team members. Top academic credentials are a prerequisite and a LLM in Taxation will be favorably considered. Applicants must be admitted to and a member in good standing of that state’s bar in which office you are applying to. Please include a cover letter, transcripts, and resume with your application. About us At Baker McKenzie we are different in the way we think, work and behave. With our team of 13,000 people, including over 6,500 locally admitted lawyers, in over 70 offices worldwide, we have a passionately collaborative community of 60 nationalities and are committed to world-class career development to everyone in every job at every level. Baker McKenzie can offer you both the uncompromising commitment to excellence expected of a top firm paired with a passionately global and genuinely collaborative working environment. Additional Information Baker McKenzie is an Equal Opportunity Employer. We are committed to promoting diversity and inclusion for all. Our unique international culture is reflected in the drawing together of a worldwide family of individuals from diverse cultures and backgrounds in all of our offices. We encourage the best people - regardless of race, religion or belief if any, gender, gender identity, disability, sexual orientation or age - to fulfill their professional aspirations with us. We are committed to ensuring an inclusive and accessible experience for all candidates. Should candidates require any reasonable adjustments and/or accommodations when applying to or interviewing with our Firm, please notify recruitmentservices@bakermckenzie.com Pay Transparency This position is bonus eligible and includes benefits such as medical, dental, vision, and 401(k) based on number of hours worked. The US base compensation for this position is expected to be $260,000 to $365,000 (annually) if located in an office in the state of California, Illinois, or New York. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. California notice: We will consider for employment all qualified applicants, including those with criminal histories (arrest and conviction records), in a manner consistent with the requirements of applicable state and local laws. Apply",Tax,"SALT, Controversy",3,5,Open,
